Code	Name	Category	IsPARequired	Tariff	EffectiveDate
Pack0001	Annual Medical Check Up Female Above 30 years - Bronze Plan	Health Check and wellness	TRUE	₦0.00	Nov 27, 2023
Pack0002	Annual Medical Check Up Female Above 30 years - Gold Plan	Health Check and wellness	TRUE	₦0.00	Nov 27, 2023
Pack0003	Annual Medical Check Up Female Above 30 years - International Plan	Health Check and wellness	TRUE	₦0.00	Nov 27, 2023
Pack0004	Annual Medical Check Up Female Above 30 years - Platinum Plan	Health Check and wellness	TRUE	₦0.00	Nov 27, 2023
Pack0005	Annual Medical Check Up Female Above 30 years - Silver Plan	Health Check and wellness	TRUE	₦0.00	Nov 27, 2023
Pack0006	Annual Medical Check Up Female Below 30 years - Bronze Plan	Health Check and wellness	TRUE	₦0.00	Nov 27, 2023
Pack0007	Annual Medical Check Up Female Below 30 years - Gold Plan	Health Check and wellness	TRUE	₦0.00	Nov 27, 2023
Pack0008	Annual Medical Check Up Female Below 30 years - International Plan	Health Check and wellness	TRUE	₦0.00	Nov 27, 2023
Pack0009	Annual Medical Check Up Female Below 30 years - Platinum Plan	Health Check and wellness	TRUE	₦0.00	Nov 27, 2023
Pack0010	Annual Medical Check Up Female Below 30 years - Silver Plan	Health Check and wellness	TRUE	₦0.00	Nov 27, 2023
Pack0011	Annual Medical Check Up Male Above 40 years - Bronze Plan	Health Check and wellness	TRUE	₦0.00	Nov 27, 2023
Pack0012	Annual Medical Check Up Male Above 40 years - Gold Plan	Health Check and wellness	TRUE	₦0.00	Nov 27, 2023
Pack0013	Annual Medical Check Up Male Above 40 years - International Plan	Health Check and wellness	TRUE	₦0.00	Nov 27, 2023
Pack0014	Annual Medical Check Up Male Above 40 years - Platinum Plan	Health Check and wellness	TRUE	₦0.00	Nov 27, 2023
Pack0015	Annual Medical Check Up Male Above 40 years - Silver Plan	Health Check and wellness	TRUE	₦0.00	Nov 27, 2023
Pack0016	Annual Medical Check Up Male Below 40 years - Bronze Plan	Health Check and wellness	TRUE	₦0.00	Nov 27, 2023
Pack0017	Annual Medical Check Up Male Below 40 years - Gold Plan	Health Check and wellness	TRUE	₦0.00	Nov 27, 2023
Pack0018	Annual Medical Check Up Male Below 40 years - International Plan	Health Check and wellness	TRUE	₦0.00	Nov 27, 2023
Pack0019	Annual Medical Check Up Male Below 40 years - Platinum Plan	Health Check and wellness	TRUE	₦0.00	Nov 27, 2023
Pack0020	Annual Medical Check Up Male Below 40 years - Silver Plan	Health Check and wellness	TRUE	₦0.00	Nov 27, 2023
Pack0021	Antenatal Care Package (Screening,Consultation,Visits,investigations,3 scans, Routine drugs)	Health Check and wellness	TRUE	₦35,000.00	Nov 27, 2023
Pack0022	Basic eye care package (Reg, Consultation, Refraction, Opthalmoscopy, Slit lamp microscopy)	Health Check and wellness	TRUE	₦0.00	Nov 27, 2023
Proc0655	GYM PER SESSION.	Health Check and wellness	FALSE	₦0.00	Nov 27, 2023
Pack0037	Medication Supply	Health Check and wellness	TRUE	₦0.01	Jan 01, 2024
Pack0023	Pre-employment Screening Female	Health Check and wellness	TRUE	₦0.00	Nov 27, 2023
Pack0024	Pre-employment Screening Male	Health Check and wellness	TRUE	₦0.00	Nov 27, 2023
Pack0036	Referral	Health Check and wellness	TRUE	₦0.01	Jan 01, 2024
