Leadway Provider Network		
Proceedure Code	Proceedure Name	Amount
10100001	APPLICATION OF COLLAR   CUFF SLING	₦15,000.00
10100001	APPLICATION OF COLLAR   CUFF SLING	₦15,000.00
10100002	BLADDER IRRIGATION	₦4,000.00
10100003	CATHERIZATION   URETHRAL  FOR NON SURGICAL PATIENT	₦3,000.00
10100004	CENTRAL VENOUS LINE INCLUDING CATHETHER	₦25,000.00
10100004	CENTRAL VENOUS LINE INCLUDING CATHETHER	₦25,000.00
10100004	CENTRAL VENOUS LINE INCLUDING CATHETHER	₦25,000.00
10100005	CHEMICAL TREATMENT   VULVA WARTS  PODOPHYLLIN PAINTING	₦11,000.00
10100006	CIRCUMCISION INCLUDING PLASTIBEL	₦8,500.00
10100006	CIRCUMCISION INCLUDING PLASTIBEL	₦8,500.00
10100007	DEFIBRILLATION PLUS PAD	₦8,000.00
10100007	DEFIBRILLATION PLUS PAD	₦8,000.00
10100008	DRAINAGE   WHITLOW	₦5,000.00
10100009	EAR PIERCING	₦2,500.00
10100010	ENEMA SAPONIS	₦5,000.00
10100011	EVACUATION   IMPACTED FAECES	₦5,000.00
10100012	EXCISION DIATHERMY   WARTS	₦11,000.00
10100013	FINGER SPLINT  PER FINGER	₦3,000.00
10100014	GASTRIC LAVAGE	₦3,000.00
10100015	INCISION AND DRAINAGE MAJOR GREATER THAN 5CM	₦15,000.00
10100016	INCISION AND DRAINAGE MINOR LESS THAN 5CM	₦5,000.00
10100017	INTERMEDIATE SUTURING  5CM TO 10 CM  REPAIR OF LACERATION	₦8,000.00
10100018	LUMBAR PUNCTURE	₦6,000.00
10100018	LUMBAR PUNCTURE	₦6,000.00
10100018	LUMBAR PUNCTURE	₦6,000.00
10100019	MAJOR SUTURING  ABOVE 10 CM  REPAIR OF LACERATION	₦12,000.00
10100019	MAJOR SUTURING  ABOVE 10 CM  REPAIR OF LACERATION	₦12,000.00
10100020	MAJOR WOUND DRESSING	₦3,000.00
10100020	MAJOR WOUND DRESSING	₦3,000.00
10100021	MINOR SUTURING  LESS THAN 5 CM  REPAIR OF LACERATION	₦5,000.00
10100022	MINOR WOUND DRESSING	₦2,000.00
10100023	NASOGASTRIC TUBE INSERTION INCLUDING NG TUBE	₦2,000.00
10100023	NASOGASTRIC TUBE INSERTION INCLUDING NG TUBE	₦2,000.00
10100025	PARACENTESIS	₦8,000.00
10100025B	NEBULIZATION	₦5,000.00
10100026	PHOTOTHERAPY DAY	₦5,000.00
10100026	PHOTOTHERAPY DAY	₦5,000.00
10100027	RECIRCUMCISION	₦16,000.00
10100027	RECIRCUMCISION	₦16,000.00
10100027	RECIRCUMCISION	₦16,000.00
10100028	SHOULDER REDUCTION	₦20,000.00
10100029	SPIROMETRY	₦6,000.00
10100029	SPIROMETRY	₦6,000.00
10100029	SPIROMETRY	₦6,000.00
10100029	SPIROMETRY	₦6,000.00
10100030	SUCTIONING	₦1,500.00
10100032	TONGUE TIE RELEASE	₦2,530.00
10100032	TONGUE TIE RELEASE	₦2,530.00
10100032	TONGUE TIE RELEASE	₦2,530.00
10100033	VENOUS CUT DOWN	₦10,000.00
10100034	WOUND DEBRIDEMENT MINOR	₦12,000.00
10100035	WOUND DEBRIDEMENT   MAJOR	₦20,000.00
10100036	WOUND EXPLORATION   MINOR	₦14,400.00
10100037	SPECULUM EXAM	₦2,500.00
10100038	SYRINGING AND PROBING   SINUS	₦4,800.00
10100038	SYRINGING AND PROBING   SINUS	₦4,800.00
10100040	EAR DRESSING  PER EAR	₦3,000.00
10100041	EAR SYRINGING  BILATERAL	₦5,000.00
10100043	FOREIGN BODY REMOVAL  EAR  MANUAL	₦6,900.00
10100044	FOREIGN BODY REMOVAL  NOSE  MANUAL	₦10,000.00
10100046	INDIRECT LARYNGOSCOPY	₦8,050.00
10100047	NASAL PACKING	₦7,776.00
10100048	PURE TONE AUDIOMETRY  PTA	₦7,500.00
10100048	PURE TONE AUDIOMETRY  PTA	₦7,500.00
10100049	SUCTION TOILETTING  PER EAR PER NOSE  ADULT	₦2,592.00
10100050	TYMPANOMETRY	₦5,000.00
10100051	DERM INJECTION   KELOID	₦2,000.00
10100052	DERM INTRALESIONAL TRIAMCINOLONE	₦6,000.00
10100052	DERM INTRALESIONAL TRIAMCINOLONE	₦6,000.00
10100053	DERM SHAVE BIOPSY	₦9,000.00
10100054	DERM SKIN BIOPSY	₦9,000.00
10100054	DERM SKIN BIOPSY	₦9,000.00
10100054	DERM SKIN BIOPSY	₦9,000.00
10100054	DERM SKIN BIOPSY	₦9,000.00
10100055	ELECTROCAUTERY	₦12,000.00
10100055	ELECTROCAUTERY	₦12,000.00
10100055	ELECTROCAUTERY	₦12,000.00
10100055	ELECTROCAUTERY	₦12,000.00
10100055	ELECTROCAUTERY	₦12,000.00
10100056	DERM DERMOJET KELOID TREATMENT	₦12,000.00
10100057	SURGICAL REPAIR OF AVULSION INJURY	₦10,000.00
10100058	DERM MELANOCYTE TRANSFER NEEDLING TECHNIQUES	₦12,000.00
10100059	DERM COMEDONE EXTRACTION	₦7,600.00
10100060	PEAK FLOW	₦2,000.00
20200001	FEEDING DAY	₦4,000.00
20202001	GENERAL WARD	₦5,000.00
20202001	GENERAL WARD	₦5,000.00
20202001	GENERAL WARD	₦5,000.00
20202002	SEMI PRIVATE WARD	₦7,500.00
20202002	SEMI PRIVATE WARD	₦7,500.00
20202003	PRIVATE WARD	₦10,000.00
20202003	PRIVATE WARD	₦10,000.00
20202003	PRIVATE WARD	₦10,000.00
