S/N	LINE ITEM	Unit	Tier 4 	Tier 3 	Tier 2	Tier 1 	Tier 0
1	ABACAVIR TABLET	Tab/1	 176.40 	 201.60 	 239.40 	 277.20 	 378.00 
2	ACECLOFENAC TABLET - 100MG	Tab/100mg	 117.60 	 134.40 	 159.60 	 184.80 	 252.00 
3	ACETAZOLAMIDE TABLET (DIAMOX)	Tab/250 Mg 	 147.00 	 168.00 	 199.50 	 231.00 	 315.00 
4	ACETYLSALICYLIC  TABLET - 100MG (VASOPRIN CARDIO)	Tab	 176.40 	 201.60 	 239.40 	 277.20 	 378.00 
5	ACETYLSALICYLIC  TABLET - 75MG (VASOPRIN)	Tab/75Mg	 17.64 	 20.16 	 23.94 	 27.72 	 37.80 
6	ACTIVATED SIMETICONE SYRUP - (INFACOL)	Blt/50ml	 5,880.00 	 6,720.00 	 7,980.00 	 9,240.00 	 12,600.00 
7	ACYCLOVIR CREAM ZOVIRAX/VICREST)	Tube/10G 	 6,056.40 	 6,921.60 	 8,219.40 	 9,517.20 	 12,978.00 
8	ACYCLOVIR EYE DROP - (ZOVIRAX)	Bottle/10ml 	 2,940.00 	 3,360.00 	 3,990.00 	 4,620.00 	 6,300.00 
9	ACYCLOVIR TABLET -  (ZOVIRAX)	tab /200mg	 329.28 	 376.32 	 446.88 	 517.44 	 705.60 
10	ACYCLOVIR TABLET - 200MG (ZOVIRAX)	tab /200mg	 588.00 	 672.00 	 798.00 	 924.00 	 1,260.00 
11	ADRENALINE INJECTION  -  0.5mg	Amp/2ml	 882.00 	 1,008.00 	 1,197.00 	 1,386.00 	 1,890.00 
12	ALBENDAZOLE SYRUP - 100MG/5ML (ZENTEL)	Blt/10ml	 882.00 	 1,008.00 	 1,197.00 	 1,386.00 	 1,890.00 
13	ALBENDAZOLE TABLET - 200MG	200Mg /tab	 294.00 	 336.00 	 399.00 	 462.00 	 630.00 
14	ALBENDAZOLE TABLET - 200MG (ZENTEL)	200Mg /tab	 588.00 	 672.00 	 798.00 	 924.00 	 1,260.00 
15	ALFUSOZIN HCL - (XATRAL)	Tab/10mg	 1,176.00 	 1,344.00 	 1,596.00 	 1,848.00 	 2,520.00 
16	ALLOPURINOL  TABLET - 100MG 	Tab/200mg	 117.60 	 134.40 	 159.60 	 184.80 	 252.00 
17	ALLOPURINOL  TABLET - 300MG 	Tab/300mg	 147.00 	 168.00 	 199.50 	 231.00 	 315.00 
18	ALPHABETIC CAPSULE	Per Cap	 411.60 	 470.40 	 558.60 	 646.80 	 882.00 
19	AMIDARONE TABLET - 200MG	Per Cap	 235.20 	 268.80 	 319.20 	 369.60 	 504.00 
20	AMILORIDE + HCT TABLET - 5MG(MODURETIC)	 Tab/1	 88.20 	 100.80 	 119.70 	 138.60 	 189.00 
21	AMINO ACID + M/VITS. + HEMATINICS CAPSULE - (ASTYFER)	Cap/1	 205.80 	 235.20 	 279.30 	 323.40 	 441.00 
22	AMINO ACID + M/VITS. + HEMATINICS SYRUP - (ASTYFER)	Blt/60ml	 4,704.00 	 5,376.00 	 6,384.00 	 7,392.00 	 10,080.00 
23	AMINO ACID + MULTIVITAMIN CAPSULE - (ASTYMIN)	 Cap/1	 205.80 	 235.20 	 279.30 	 323.40 	 441.00 
24	AMINO ACID + MULTIVITAMIN SYRUP - (ASTYMIN)	Blt/60ml	 4,145.40 	 4,737.60 	 5,625.90 	 6,514.20 	 8,883.00 
25	AMINO ACID INFUSION -  (ASTYMIN INFUSION)	Tube/500ml	 7,056.00 	 8,064.00 	 9,576.00 	 11,088.00 	 15,120.00 
26	AMINOPHYLINE INJECTION – 25OMG	Vial/250mg	 441.00 	 504.00 	 598.50 	 693.00 	 945.00 
27	AMINOPHYLLINE TABLET - 100MG	Tab/100mg	 58.80 	 67.20 	 79.80 	 92.40 	 126.00 
28	AMIODARONE TABLET  - 200MG	Tab/ 200mg	 102.90 	 117.60 	 139.65 	 161.70 	 220.50 
29	AMITRPTYLINE  TABLET –  25MG	 Tab/25mg	 70.56 	 80.64 	 95.76 	 110.88 	 151.20 
30	AMITRYTYLINE TABLET - 25MG (TRYPTIZOL)	 Tab/25mg	 58.80 	 67.20 	 79.80 	 92.40 	 126.00 
31	AMLODIPINE BESILATE TABLET - 10MG	Tab/10mg	 117.60 	 134.40 	 159.60 	 184.80 	 252.00 
32	AMLODIPINE BESILATE TABLET - 10MG (NORVASC)	 Tab/10mg	 882.00 	 1,008.00 	 1,197.00 	 1,386.00 	 1,890.00 
33	AMLODIPINE BESILATE TABLET - 5MG	Tab/5mg	 70.56 	 80.64 	 95.76 	 110.88 	 151.20 
34	AMLODIPINE BESILATE TABLET - 5MG (NOVASC)	Tab/5mg	 205.80 	 235.20 	 279.30 	 323.40 	 441.00 
35	AMLODIPINE-10  + VARSATAN-160 + HCT-12.5  TABLET - 182.5MG(EXFORGE HCT)	Tab/182.5	 1,293.60 	 1,478.40 	 1,755.60 	 2,032.80 	 2,772.00 
